Nominal diameter in inches;External diameter in mm;Wall thickness in mm;Weight in kg/m;Cost per 100 m in Euro's;Pressure in bar
0.5;21.3;2.8;1.27;277;215.59
0.75;26.7;2.9;1.68;338;178.13
1;33.4;3.4;2.5;461;166.95
1.5;48.3;3.7;4.05;707;125.63
2;60.3;3.9;5.44;738;106.07
3;88.9;5.5;11.3;1310;101.46
4;114.3;6;16.1;1805;86.09
5;141.3;6.6;21.8;2615;76.6
6;168.3;7.1;28.3;3360;69.19
8;219.1;8.2;42.5;5165;61.38
10;273;9.3;60.3;7450;55.87
12;323.9;9.5;73.8;9350;48.1
14;355.6;9.5;81.3;11235;43.81
16;406.4;9.5;93.3;13020;38.34
20;508;9.5;117;16490;30.67
