Nominal diameter in inches;Outside diameter in mm;Wall thickness in mm;Weight in kg/m;Cost per 100 m;Pressure in bar
0.5;21.3;3.7;1.62;315;158.27
0.75;26.7;3.9;2.2;389;133.08
1.0;33.4;4.5;3.24;536;122.75
1.5;48.3;5.1;5.41;840;96.2
2.0;60.3;5.5;7.48;1060;83.1
3.0;88.9;7.6;15.3;1755;77.89
4.0;114.3;8.6;22.3;2635;68.55
5.0;141.3;9.5;31.0;3770;61.26
6.0;168.3;11.0;42.6;4895;59.55
8.0;219.1;12.7;64.6;8010;52.81
10.0;273.0;12.7;81.6;10285;42.39
12.0;323.9;12.7;97.5;12375;35.72
14.0;355.6;12.7;107.0;14905;32.54
16.0;406.4;12.7;123.16;17045;28.47
20.0;508.0;12.7;155.0;21235;22.78
